taxonomy_id	name	rank	BGG_KOSDC	BGG_MOSDA	BGG_QOSDA	BGG_POSDC	BGG_BOSW	BGG_NOSDA	BGG_LOSDA	BGG_ROSDA	BGG_OOSDC
0			528634981	606962954	614993310	576779740	200089796	645832551	632084375	598892875	540130085
1	root	no rank	35344	41223	29033	91226	10681	35777	44621	29456	31977
131567	cellular organisms	no rank	1099552	1175448	785533	1384660	360240	890641	793470	1029279	1111331
2	Bacteria	superkingdom	8748477	8958704	4592986	10776349	2606052	5129978	4533384	5560080	9044762
1224	Pseudomonadota	phylum	4484777	4348497	1033967	3880994	1944641	3419741	1203925	2016925	6389477
28211	Alphaproteobacteria	class	2954081	3602230	627563	2526939	1123456	3599742	397488	1583927	3372024
356	Hyphomicrobiales	order	2368033	3156764	695275	2183589	1010762	2690499	291420	1658130	2847308
69277	Phyllobacteriaceae	family	80464	78134	20566	21241	44467	14710	2122	18842	132363
68287	Mesorhizobium	genus	628927	170530	70266	80426	102915	40199	3818	52969	236961
325217	unclassified Mesorhizobium	no rank	491660	65226	48509	52522	49650	16152	1996	24651	92968
2744521	Mesorhizobium sp. L-2-11	species	416410	5035	24577	13182	1215	3652	455	4640	10877
2493677	Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1	species	66677	1924	4288	20777	999	843	100	2246	2919
1854057	Mesorhizobium sp. AA22	species	33313	1082	2614	2330	316	234	77	581	1671
2493668	Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	species	20399	1329	4875	2615	743	826	222	918	2664
2493673	Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	species	2883	369	104	212	494	56	13	124	361
2493678	Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	species	2403	596	197	1713	2515	129	75	154	569
2493681	Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1	species	2352	290	225	611	665	112	17	143	380
278153	Mesorhizobium sp. WSM1497	species	1895	226	37	261	193	16	5	40	241
2880934	Mesorhizobium sp. PAMC28654	species	1559	1602	272	327	2163	146	36	261	1699
2654248	Mesorhizobium sp. INR15	species	1521	1649	307	334	3213	56	24	362	1976
2744516	Mesorhizobium sp. 113-3-3	species	1508	123	18	118	384	21	3	55	143
2108445	Mesorhizobium sp. DCY119	species	1456	1760	779	325	2912	209	24	434	2400
2744515	Mesorhizobium sp. 113-1-2	species	1383	246	62	175	618	30	2	113	365
2744518	Mesorhizobium sp. 131-2-1	species	1352	514	161	424	701	133	52	172	612
2493672	Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	species	1333	382	108	249	629	94	12	115	334
2493675	Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	species	1289	245	71	173	535	73	10	145	285
2483404	Mesorhizobium sp. NZP2077	species	1191	463	207	206	813	62	3	224	549
