sample	contig	NCBItaxID	NCBIrank	NCBItaxName	nFrags	retainedFrags	taxassignedFrags	fractionAgreement	lineage
BGG_QOSDA	NODE_75322_length_3397_cov_56.8	5302	genus	Sporosarcina	6	6	5	0.8	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Sporosarcina
BGG_KOSDC	NODE_1_length_742978_cov_35.6	10241	genus	SYFT01	665	634	369	0.64	d_Bacteria;p_Acidobacteriota;c_Vicinamibacteria;o_Vicinamibacterales;f_SCN-69-37;g_SYFT01
BGG_KOSDC	NODE_223_length_85852_cov_34.5	13859	family	Polyangiaceae	84	73	41	0.59	d_Bacteria;p_Myxococcota;c_Polyangia;o_Polyangiales;f_Polyangiaceae
BGG_KOSDC	NODE_678_length_49642_cov_178.0	3489	genus	Clostridium AD	45	43	24	0.63	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium AD
BGG_KOSDC	NODE_1402_length_34402_cov_36.1	13859	family	Polyangiaceae	30	24	19	0.75	d_Bacteria;p_Myxococcota;c_Polyangia;o_Polyangiales;f_Polyangiaceae
BGG_KOSDC	NODE_2089_length_28205_cov_33.1	2	superkingdom	Bacteria	20	20	18	0.84	d_Bacteria
BGG_KOSDC	NODE_3045_length_23268_cov_34.5	13859	family	Polyangiaceae	21	20	11	0.64	d_Bacteria;p_Myxococcota;c_Polyangia;o_Polyangiales;f_Polyangiaceae
BGG_KOSDC	NODE_4049_length_20241_cov_11.9	1	no rank	root	17	16	16	1.0	-_root
BGG_KOSDC	NODE_5665_length_16939_cov_8.2	50284	species	Chitinophaga sp900112615	17	17	13	0.76	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Chitinophagaceae;g_Chitinophaga;s_Chitinophaga sp900112615
BGG_KOSDC	NODE_7229_length_14972_cov_15.1	23	phylum	Actinobacteriota	10	10	5	0.5	d_Bacteria;p_Actinobacteriota
BGG_POSDC	NODE_32062_length_7827_cov_7.7	35845	genus	JACDDX01	10	9	4	0.58	d_Bacteria;p_Gemmatimonadota;c_Gemmatimonadetes;o_Gemmatimonadales;f_GWC2-71-9;g_JACDDX01
BGG_POSDC	NODE_36726_length_7277_cov_54.9	41776	genus	AWTP1-13	14	14	7	0.59	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Hyphomicrobiaceae;g_AWTP1-13
BGG_POSDC	NODE_40443_length_6917_cov_12.5	2	superkingdom	Bacteria	4	3	3	1.0	d_Bacteria
BGG_POSDC	NODE_46066_length_6445_cov_7.6	183	order	Rhizobiales	7	7	5	0.97	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales
