sample	reference	predicted_accuracy	null_model_p0	null_model_p0_stdev	damage_model_p	damage_model_p_stdev	damage_model_pmin	damage_model_pmin_stdev	damage_model_pmax	damage_model_pmax_stdev	pvalue	qvalue	RMSE	nb_reads_aligned	coverage	reflen	CtoT-0	CtoT-1	CtoT-2	CtoT-3	CtoT-4	CtoT-5	CtoT-6	CtoT-7	CtoT-8	CtoT-9	CtoT-10	CtoT-11	CtoT-12	CtoT-13	CtoT-14	CtoT-15	CtoT-16	CtoT-17	CtoT-18	CtoT-19
BGG_BOSW	NODE_19033_length_6072_cov_6.6	0.368	0.012	0.003	0.418	0.259	0.008	0.004	0.040	0.013	0.018	0.140	0.012	449	6.410	6072	0.039	0.031	0.023	0.000	0.013	0.000	0.016	0.036	0.013	0.000	0.044	0.000	0.015	0.000	0.000	0.014	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_1133_length_50884_cov_42.3	0.818	0.001	0.000	0.000	0.000	0.000	0.001	0.002	0.000	0.225	0.703	0.001	21322	41.095	50884	0.001	0.003	0.002	0.002	0.000	0.001	0.000	0.002	0.001	0.001	0.000	0.002	0.002	0.001	0.002	0.001	0.001	0.001	0.001	0.000
BGG_BOSW	NODE_4600_length_17602_cov_15.3	0.396	0.007	0.001	0.277	0.396	0.006	0.002	0.011	0.004	0.225	0.703	0.004	2828	14.798	17602	0.012	0.006	0.013	0.005	0.007	0.009	0.010	0.012	0.000	0.002	0.005	0.005	0.011	0.000	0.002	0.002	0.005	0.017	0.009	0.007
BGG_BOSW	NODE_7987_length_11775_cov_50.0	0.511	0.001	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.237	0.729	0.001	6279	48.493	11775	0.000	0.003	0.002	0.001	0.000	0.000	0.003	0.000	0.001	0.001	0.001	0.002	0.001	0.000	0.001	0.001	0.003	0.001	0.000	0.000
BGG_BOSW	NODE_4710_length_17340_cov_17.3	0.395	0.005	0.001	0.201	0.276	0.004	0.002	0.009	0.003	0.239	0.732	0.004	2947	16.629	17340	0.006	0.013	0.004	0.010	0.003	0.003	0.007	0.003	0.000	0.004	0.014	0.000	0.003	0.003	0.006	0.000	0.006	0.006	0.000	0.003
BGG_BOSW	NODE_42850_length_3260_cov_5.4	0.204	0.003	0.002	0.082	0.499	0.000	0.015	0.007	0.007	0.242	0.736	0.010	230	5.314	3260	0.000	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_6864_length_13157_cov_52.8	0.557	0.003	0.000	0.098	0.262	0.002	0.002	0.004	0.001	0.252	0.762	0.002	7272	50.937	13157	0.001	0.008	0.004	0.002	0.004	0.001	0.003	0.003	0.003	0.004	0.002	0.002	0.000	0.001	0.004	0.001	0.003	0.002	0.001	0.004
BGG_BOSW	NODE_32671_length_4019_cov_6.0	0.208	0.001	0.001	0.182	0.350	0.000	0.004	0.006	0.005	0.256	0.764	0.006	274	5.851	4019	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_2166_length_31754_cov_46.9	0.694	0.001	0.000	0.222	0.297	0.001	0.000	0.002	0.001	0.256	0.764	0.001	14656	45.451	31754	0.002	0.003	0.001	0.001	0.004	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.001	0.001	0.001	0.000	0.001	0.001	0.003	0.001
BGG_BOSW	NODE_857_length_60443_cov_13.5	0.776	0.006	0.000	0.006	0.242	0.003	0.008	0.007	0.001	0.259	0.766	0.002	8863	12.996	60443	0.006	0.006	0.011	0.005	0.006	0.004	0.006	0.007	0.007	0.005	0.003	0.007	0.005	0.005	0.002	0.009	0.005	0.004	0.005	0.004
BGG_BOSW	NODE_22345_length_5365_cov_8.5	0.248	0.007	0.004	0.442	2.931	0.007	0.006	0.011	0.019	0.265	0.779	0.019	483	8.379	5365	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.077	0.000	0.000	0.027	0.000	0.000
